event_id,title,home_team,away_team,event_slug,kickoff_utc,kickoff_beijing,target_pre1h_utc,raw_endDate,raw_startDate,home_price,draw_price,away_price,home_no_price,draw_no_price,away_no_price,home_price_method,draw_price_method,away_price_method,home_price_quality,draw_price_quality,away_price_quality,home_trade_count,draw_trade_count,away_trade_count,home_trade_volume,draw_trade_volume,away_trade_volume,home_price_age_seconds,draw_price_age_seconds,away_price_age_seconds,home_price_point_utc,draw_price_point_utc,away_price_point_utc,home_window_start_utc,draw_window_start_utc,away_window_start_utc,home_no_quality,draw_no_quality,away_no_quality,home_no_trade_count,draw_no_trade_count,away_no_trade_count,home_no_price_age,draw_no_price_age,away_no_price_age,home_odds,draw_odds,away_odds,home_prob_norm,draw_prob_norm,away_prob_norm,final_score,result_regular,match_ended,settled
351715,Mexico vs. South Africa,Mexico,South Africa,fifwc-mex-rsa-2026-06-11,2026-06-11T19:00:00+00:00,2026-06-12 03:00,2026-06-11T18:00:00+00:00,2026-06-11T19:00:00Z,2026-04-06T22:48:47.767995Z,0.6993359,0.20740121,0.10991214,0.30998961,0.79091575,0.89998131,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,73,24,22,8723.812751,2410.052357,3528.305431,3,12,8,2026-06-11T17:59:57+00:00,2026-06-11T17:59:48+00:00,2026-06-11T17:59:52+00:00,2026-06-11T17:57:00+00:00,2026-06-11T17:57:00+00:00,2026-06-11T17:57:00+00:00,high,medium,medium,14,3,9,12,204,138,1.4299,4.8216,9.0982,0.6879,0.204,0.1081,2-0,home,Y,Y
351716,Korea Republic vs. Czechia,Korea Republic,Czechia,fifwc-kr-cze-2026-06-11,2026-06-12T02:00:00+00:00,2026-06-12 10:00,2026-06-12T01:00:00+00:00,2026-06-12T02:00:00Z,2026-04-06T22:29:59.762389Z,0.37951897,0.32,0.319737,0.62998044,0.68999996,0.69,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,58,19,14,8315.536766,5249.80875,4649.0825,0,6,0,2026-06-12T01:00:00+00:00,2026-06-12T00:59:54+00:00,2026-06-12T01:00:00+00:00,2026-06-12T00:57:00+00:00,2026-06-12T00:57:00+00:00,2026-06-12T00:57:00+00:00,medium,high,high,9,3,4,47,74,8,2.6349,3.125,3.1276,0.3723,0.314,0.3137,2-1,home,Y,Y
351717,Canada vs. Bosnia-Herzegovina,Canada,Bosnia-Herzegovina,fifwc-can-bih-2026-06-12,2026-06-12T19:00:00+00:00,2026-06-13 03:00,2026-06-12T18:00:00+00:00,2026-06-12T19:00:00Z,2026-04-06T22:48:44.921385Z,0.5399709,0.27999102,0.2,0.46953279,0.73,0.80967196,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,80,18,24,9349.50026,1882.939977,3345.2,8,20,18,2026-06-12T17:59:52+00:00,2026-06-12T17:59:40+00:00,2026-06-12T17:59:42+00:00,2026-06-12T17:57:00+00:00,2026-06-12T17:57:00+00:00,2026-06-12T17:57:00+00:00,high,high,medium,9,3,7,36,27,75,1.852,3.5715,5.0,0.5294,0.2745,0.1961,1-1,draw,Y,Y
351718,United States vs. Paraguay,United States,Paraguay,fifwc-usa-par-2026-06-12,2026-06-13T01:00:00+00:00,2026-06-13 09:00,2026-06-13T00:00:00+00:00,2026-06-13T01:00:00Z,2026-04-06T22:27:03.503961Z,0.46960381,0.29999903,0.23717686,0.53872983,0.70991422,0.76620297,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,76,11,13,21743.607139,34493.82999,1121.659987,9,36,5,2026-06-12T23:59:51+00:00,2026-06-12T23:59:24+00:00,2026-06-12T23:59:55+00:00,2026-06-12T23:57:00+00:00,2026-06-12T23:57:00+00:00,2026-06-12T23:57:00+00:00,medium,high,medium,22,3,12,84,45,105,2.1295,3.3333,4.2163,0.4664,0.298,0.2356,4-1,home,Y,Y
351719,Qatar vs. Switzerland,Qatar,Switzerland,fifwc-qat-che-2026-06-13,2026-06-13T19:00:00+00:00,2026-06-14 03:00,2026-06-13T18:00:00+00:00,2026-06-13T19:00:00Z,2026-04-06T22:29:59.792044Z,0.06,0.12999998,0.8297304,0.941,0.88,0.1799142,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,17,4,53,2303.666648,215.38461,4482.285993,29,5,0,2026-06-13T17:59:31+00:00,2026-06-13T17:59:55+00:00,2026-06-13T18:00:00+00:00,2026-06-13T17:57:00+00:00,2026-06-13T17:57:00+00:00,2026-06-13T17:57:00+00:00,medium,fair,high,6,5,14,123,950,8,16.6667,7.6923,1.2052,0.0588,0.1275,0.8137,1-1,draw,Y,Y
351720,Brazil vs. Morocco,Brazil,Morocco,fifwc-bra-mar-2026-06-13,2026-06-13T22:00:00+00:00,2026-06-14 06:00,2026-06-13T21:00:00+00:00,2026-06-13T22:00:00Z,2026-04-06T22:27:04.628244Z,0.58994515,0.26,0.16994612,0.41775401,0.75,0.84,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,84,9,30,33442.412919,1918.807679,37117.758787,0,8,2,2026-06-13T21:00:00+00:00,2026-06-13T20:59:52+00:00,2026-06-13T20:59:58+00:00,2026-06-13T20:57:00+00:00,2026-06-13T20:57:00+00:00,2026-06-13T20:57:00+00:00,high,high,high,5,3,3,32,2,26,1.6951,3.8462,5.8842,0.5784,0.2549,0.1666,1-1,draw,Y,Y
351721,Haiti vs. Scotland,Haiti,Scotland,fifwc-hai-sco-2026-06-13,2026-06-14T01:00:00+00:00,2026-06-14 09:00,2026-06-14T00:00:00+00:00,2026-06-14T01:00:00Z,2026-04-06T22:38:23.477997Z,0.16,0.20999998,0.62861562,0.84491745,0.79030789,0.37000418,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,6,211,55,769.805,8119.571055,11850.969138,20,41,9,2026-06-13T23:59:40+00:00,2026-06-13T23:59:19+00:00,2026-06-13T23:59:51+00:00,2026-06-13T23:57:00+00:00,2026-06-13T23:57:00+00:00,2026-06-13T23:57:00+00:00,medium,high,medium,17,12,3,177,8,479,6.25,4.7619,1.5908,0.1602,0.2103,0.6295,0-1,away,Y,Y
351722,Australia vs. Türkiye,Australia,Türkiye,fifwc-aus-tur-2026-06-14,2026-06-14T04:00:00+00:00,2026-06-14 12:00,2026-06-14T03:00:00+00:00,2026-06-14T04:00:00Z,2026-04-06T22:30:00.64125Z,0.18,0.25999999,0.56999411,0.83,0.74999987,0.44,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,22,9,83,8630.032199,697.76922,18999.006877,5,12,0,2026-06-14T02:59:55+00:00,2026-06-14T02:59:48+00:00,2026-06-14T03:00:00+00:00,2026-06-14T02:57:00+00:00,2026-06-14T02:57:00+00:00,2026-06-14T02:57:00+00:00,high,medium,high,4,3,8,141,554,44,5.5556,3.8462,1.7544,0.1782,0.2574,0.5644,2-0,home,Y,Y
351723,Germany vs. Curaçao,Germany,Curaçao,fifwc-ger-kor-2026-06-14,2026-06-14T17:00:00+00:00,2026-06-15 01:00,2026-06-14T16:00:00+00:00,2026-06-14T17:00:00Z,2026-04-06T22:52:30.908306Z,0.94638772,0.03624034,0.0238098,0.05438054,0.96449783,0.97782297,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,36,31,32,14210.328097,2378.30194,409825.751271,0,3,2,2026-06-14T16:00:00+00:00,2026-06-14T15:59:57+00:00,2026-06-14T15:59:58+00:00,2026-06-14T15:57:00+00:00,2026-06-14T15:57:00+00:00,2026-06-14T15:57:00+00:00,high,high,high,38,35,48,0,0,0,1.0566,27.5936,41.9995,0.9403,0.036,0.0237,7-1,home,Y,Y
351724,Netherlands vs. Japan,Netherlands,Japan,fifwc-nld-jpn-2026-06-14,2026-06-14T20:00:00+00:00,2026-06-15 04:00,2026-06-14T19:00:00+00:00,2026-06-14T20:00:00Z,2026-04-06T22:46:26.529757Z,0.45989094,0.28973137,0.26919496,0.55,0.72,0.74,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,54,22,48,3520.152118,1153.648249,4236.838096,2,3,0,2026-06-14T18:59:58+00:00,2026-06-14T18:59:57+00:00,2026-06-14T19:00:00+00:00,2026-06-14T18:57:00+00:00,2026-06-14T18:57:00+00:00,2026-06-14T18:57:00+00:00,high,medium,high,3,3,10,33,207,117,2.1744,3.4515,3.7148,0.4514,0.2844,0.2642,2-2,draw,Y,Y
